onet_major_x,onet_major_y,source,target,value
25,41,Educational Instruction and Library,Sales and Related,373
25,43,Educational Instruction and Library,Office and Administrative Support,466
25,45,Educational Instruction and Library,"Farming, Fishing, and Forestry",6
25,47,Educational Instruction and Library,Construction and Extraction,10
25,49,Educational Instruction and Library,"Installation, Maintenance, and Repair",13
25,51,Educational Instruction and Library,Production,42
25,53,Educational Instruction and Library,Transportation and Material Moving,42
27,11,"Arts, Design, Entertainment, Sports, and Media",Management,2462
27,13,"Arts, Design, Entertainment, Sports, and Media",Business and Financial Operations,825
27,15,"Arts, Design, Entertainment, Sports, and Media",Computer and Mathematical,387
27,17,"Arts, Design, Entertainment, Sports, and Media",Architecture and Engineering,212
27,19,"Arts, Design, Entertainment, Sports, and Media","Life, Physical, and Social Science",80
27,21,"Arts, Design, Entertainment, Sports, and Media",Community and Social Service,128
27,23,"Arts, Design, Entertainment, Sports, and Media",Legal,106
27,25,"Arts, Design, Entertainment, Sports, and Media",Educational Instruction and Library,386
27,27,"Arts, Design, Entertainment, Sports, and Media","Arts, Design, Entertainment, Sports, and Media",6620
27,29,"Arts, Design, Entertainment, Sports, and Media",Healthcare Practitioners and Technical,92
27,31,"Arts, Design, Entertainment, Sports, and Media",Healthcare Support,15
27,33,"Arts, Design, Entertainment, Sports, and Media",Protective Service,19
27,35,"Arts, Design, Entertainment, Sports, and Media",Food Preparation and Serving Related,43
27,37,"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,10
27,39,"Arts, Design, Entertainment, Sports, and Media",Personal Care and Service,87
27,41,"Arts, Design, Entertainment, Sports, and Media",Sales and Related,563
27,43,"Arts, Design, Entertainment, Sports, and Media",Office and Administrative Support,401
27,45,"Arts, Design, Entertainment, Sports, and Media","Farming, Fishing, and Forestry",4
27,47,"Arts, Design, Entertainment, Sports, and Media",Construction and Extraction,20
27,49,"Arts, Design, Entertainment, Sports, and Media","Installation, Maintenance, and Repair",23
27,51,"Arts, Design, Entertainment, Sports, and Media",Production,56
27,53,"Arts, Design, Entertainment, Sports, and Media",Transportation and Material Moving,34
29,11,Healthcare Practitioners and Technical,Management,1062
